FEATURE,IMPORTANCE,STD,RANK,DATASET,TEST_SET,REGRESSOR
threshold,0.0790205573143032,0.0020299216829078,1,optuna,D7,AutoML
InputEntityProfiles,0.0,0.0,2,optuna,D7,AutoML
NumberOfAttributes,0.0,0.0,3,optuna,D7,AutoML
NumberOfDistinctValues,0.0,0.0,4,optuna,D7,AutoML
NumberOfNameValuePairs,0.0,0.0,5,optuna,D7,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,optuna,D7,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,optuna,D7,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,optuna,D7,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,optuna,D7,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,optuna,D7,AutoML
AverageValueLength,0.0,0.0,11,optuna,D7,AutoML
AverageValueTokens,0.0,0.0,12,optuna,D7,AutoML
MaxValuesPerEntity,0.0,0.0,13,optuna,D7,AutoML
clustering_ConnectedComponentsClustering,0.1760364524041611,0.0048286825914242,14,optuna,D7,AutoML
clustering_KiralyMSMApproximateClustering,-0.000137478178479,6.549802671262663e-05,15,optuna,D7,AutoML
clustering_UniqueMappingClustering,-9.449656801572282e-05,3.801808655386923e-05,16,optuna,D7,AutoML
lm_fasttext,0.0112964829578048,0.0002657333996323,17,optuna,D7,AutoML
lm_sdistilroberta,-0.0003296284542533,8.228909384241836e-05,18,optuna,D7,AutoML
lm_sent_glove,0.0014041157262568,4.6741818841687806e-05,19,optuna,D7,AutoML
lm_sminilm,0.0014292943307011,9.478385103401847e-05,20,optuna,D7,AutoML
lm_smpnet,-0.0009556114316279,2.265801217027113e-05,21,optuna,D7,AutoML
lm_st5,0.0056827781361126,0.0020881948104363,22,optuna,D7,AutoML
lm_word2vec,-0.0012252156655192,0.0001055045116723,23,optuna,D7,AutoML
k,0.0026298395183157,7.107926002124031e-05,0,optuna,D5,AutoML
threshold,0.0127055144318719,0.0005163017449582,1,optuna,D5,AutoML
InputEntityProfiles,0.0,0.0,2,optuna,D5,AutoML
NumberOfAttributes,0.0,0.0,3,optuna,D5,AutoML
NumberOfDistinctValues,0.0,0.0,4,optuna,D5,AutoML
NumberOfNameValuePairs,0.0,0.0,5,optuna,D5,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,optuna,D5,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,optuna,D5,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,optuna,D5,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,optuna,D5,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,optuna,D5,AutoML
AverageValueLength,0.0,0.0,11,optuna,D5,AutoML
AverageValueTokens,0.0,0.0,12,optuna,D5,AutoML
MaxValuesPerEntity,0.0,0.0,13,optuna,D5,AutoML
clustering_ConnectedComponentsClustering,0.1206521897772246,0.0018044109587981,14,optuna,D5,AutoML
clustering_KiralyMSMApproximateClustering,0.0060142951450254,0.0001151040007291,15,optuna,D5,AutoML
clustering_UniqueMappingClustering,-8.508580908879182e-05,1.3830420942959053e-05,16,optuna,D5,AutoML
lm_fasttext,0.0023881618404622,5.5045586324061214e-05,17,optuna,D5,AutoML
lm_sdistilroberta,-0.0004274122983651,2.7840889031660143e-05,18,optuna,D5,AutoML
lm_sent_glove,0.0001410917329004,2.603070915566016e-05,19,optuna,D5,AutoML
lm_sminilm,0.0034289072511291,0.0001112446472355,20,optuna,D5,AutoML
lm_smpnet,-0.0008529775390135,6.421587489087828e-05,21,optuna,D5,AutoML
lm_st5,-0.0107933334599778,0.0005653668855301,22,optuna,D5,AutoML
lm_word2vec,0.0004653532208457,1.7797987995018615e-05,23,optuna,D5,AutoML
