trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
32,D9,UniqueMappingClustering,st5,92,0.37906589629249815,tpe,16,88.2353,96.1872,92.0398,57.4036
33,D9,UniqueMappingClustering,st5,74,0.47852759358479896,tpe,16,88.2353,96.1872,92.0398,49.4955
34,D9,UniqueMappingClustering,st5,95,0.3518839934267984,tpe,16,88.2353,96.1872,92.0398,59.8229
0,D9,ConnectedComponentsClustering,sdistilroberta,23,0.5573132422113427,tpe,16,91.5254,2.3397,4.5627,10.076
1,D9,UniqueMappingClustering,st5,70,0.8759183069702524,tpe,16,95.9059,88.3016,91.9468,13.5466
2,D9,BestMatchClustering,sent_glove,55,0.09796940450982233,tpe,16,63.4738,69.1941,66.2106,17.01
3,D9,KiralyMSMApproximateClustering,sent_glove,27,0.570206071017357,tpe,16,79.1214,66.3345,72.1659,11.1016
4,D9,KiralyMSMApproximateClustering,sent_glove,22,0.7181165624592646,tpe,16,86.6817,49.9133,63.3489,5.5828
5,D9,UniqueMappingClustering,sminilm,44,0.5243046510147403,tpe,16,87.0631,93.8908,90.3481,10.7174
6,D9,UniqueMappingClustering,sminilm,20,0.14051661315009667,tpe,16,86.1288,93.8908,89.8425,12.485
7,D9,ConnectedComponentsClustering,sent_glove,46,0.7395230077261655,tpe,16,96.5458,24.2201,38.7253,16.9935
8,D9,KiralyMSMApproximateClustering,sent_glove,36,0.8930100289048913,tpe,16,96.875,9.4021,17.1406,7.6717
9,D9,KiralyMSMApproximateClustering,sdistilroberta,18,0.19649528379445302,tpe,16,89.8262,91.8111,90.8078,12.9702
10,D9,UniqueMappingClustering,st5,83,0.9433630976698483,tpe,16,98.3005,47.617,64.1565,15.3719
11,D9,BestMatchClustering,smpnet,3,0.29793362444719196,tpe,16,83.0414,90.3813,86.556,3.4534
12,D9,KiralyMSMApproximateClustering,sdistilroberta,72,0.3146127800606803,tpe,16,90.0977,91.8544,90.9676,31.5996
13,D9,UniqueMappingClustering,st5,74,0.35519732022723766,tpe,16,88.2353,96.1872,92.0398,46.5745
14,D9,UniqueMappingClustering,st5,98,0.3626005261408972,tpe,16,88.2353,96.1872,92.0398,62.1985
15,D9,UniqueMappingClustering,st5,99,0.3719063900050051,tpe,16,88.2353,96.1872,92.0398,61.6842
16,D9,UniqueMappingClustering,st5,99,0.402063186195049,tpe,16,88.2353,96.1872,92.0398,62.2156
17,D9,UniqueMappingClustering,st5,89,0.220789218538661,tpe,16,88.2353,96.1872,92.0398,55.8722
18,D9,UniqueMappingClustering,smpnet,64,0.4306512457636752,tpe,16,84.8509,92.461,88.4926,18.6289
19,D9,ConnectedComponentsClustering,st5,85,0.6639297408272906,tpe,16,0,0,0,28.6639
20,D9,BestMatchClustering,st5,78,0.4624023895250643,tpe,16,86.8045,94.6274,90.5473,23.2092
21,D9,UniqueMappingClustering,st5,100,0.34766883331372267,tpe,16,88.2353,96.1872,92.0398,63.5225
22,D9,UniqueMappingClustering,st5,91,0.2479770922895381,tpe,16,88.2353,96.1872,92.0398,58.1201
23,D9,UniqueMappingClustering,st5,59,0.34655469171867775,tpe,16,88.2353,96.1872,92.0398,37.4876
24,D9,UniqueMappingClustering,st5,93,0.4071532799902914,tpe,16,88.2353,96.1872,92.0398,59.243
25,D9,UniqueMappingClustering,sminilm,77,0.6196458895941593,tpe,16,90.1414,93.8908,91.9779,14.1265
26,D9,UniqueMappingClustering,st5,94,0.47534272849702536,tpe,16,88.2353,96.1872,92.0398,71.5934
27,D9,UniqueMappingClustering,smpnet,80,0.062103643641625905,tpe,16,84.8172,92.461,88.4743,50.6765
28,D9,BestMatchClustering,st5,68,0.2783002623299917,tpe,16,86.8045,94.6274,90.5473,22.5942
29,D9,ConnectedComponentsClustering,sdistilroberta,100,0.5545118486923859,tpe,16,92.3077,2.0797,4.0678,36.8779
30,D9,ConnectedComponentsClustering,st5,86,0.17111309025008947,tpe,16,0,0,0,29.3661
31,D9,UniqueMappingClustering,st5,99,0.40154698721508325,tpe,16,88.2353,96.1872,92.0398,63.4452
32,D9,UniqueMappingClustering,st5,92,0.37906589629249815,tpe,16,88.2353,96.1872,92.0398,58.5087
33,D9,UniqueMappingClustering,st5,74,0.47852759358479896,tpe,16,88.2353,96.1872,92.0398,49.7921
34,D9,UniqueMappingClustering,st5,95,0.3518839934267984,tpe,16,88.2353,96.1872,92.0398,61.2166
35,D9,UniqueMappingClustering,st5,85,0.28071535501957334,tpe,16,88.2353,96.1872,92.0398,55.8818
36,D9,UniqueMappingClustering,sminilm,65,0.4528793077502907,tpe,16,86.3003,93.8908,89.9357,16.0743
37,D9,BestMatchClustering,st5,57,0.5231467178247418,tpe,16,86.8045,94.6274,90.5473,19.0673
38,D9,UniqueMappingClustering,smpnet,97,0.13637660882137953,tpe,16,84.8172,92.461,88.4743,58.3124
39,D9,UniqueMappingClustering,sent_glove,90,0.5856576967809186,tpe,16,71.1834,68.2842,69.7037,24.7407
0,D9,ConnectedComponentsClustering,sdistilroberta,23,0.5573132422113427,tpe,16,91.5254,2.3397,4.5627,12.1217
1,D9,UniqueMappingClustering,st5,70,0.8759183069702524,tpe,16,95.9059,88.3016,91.9468,13.3442
2,D9,BestMatchClustering,sent_glove,55,0.09796940450982233,tpe,16,63.4738,69.1941,66.2106,16.9966
3,D9,KiralyMSMApproximateClustering,sent_glove,27,0.570206071017357,tpe,16,79.1214,66.3345,72.1659,11.1728
4,D9,KiralyMSMApproximateClustering,sent_glove,22,0.7181165624592646,tpe,16,86.6817,49.9133,63.3489,5.4495
5,D9,UniqueMappingClustering,sminilm,44,0.5243046510147403,tpe,16,87.0631,93.8908,90.3481,10.7256
6,D9,UniqueMappingClustering,sminilm,20,0.14051661315009667,tpe,16,86.1288,93.8908,89.8425,12.5666
7,D9,ConnectedComponentsClustering,sent_glove,46,0.7395230077261655,tpe,16,96.5458,24.2201,38.7253,17.2151
8,D9,KiralyMSMApproximateClustering,sent_glove,36,0.8930100289048913,tpe,16,96.875,9.4021,17.1406,7.7664
9,D9,KiralyMSMApproximateClustering,sdistilroberta,18,0.19649528379445302,tpe,16,89.8262,91.8111,90.8078,12.9438
10,D9,UniqueMappingClustering,st5,83,0.9433630976698483,tpe,16,98.3005,47.617,64.1565,15.3607
11,D9,BestMatchClustering,smpnet,3,0.29793362444719196,tpe,16,83.0414,90.3813,86.556,3.389
12,D9,KiralyMSMApproximateClustering,sdistilroberta,72,0.3146127800606803,tpe,16,90.0977,91.8544,90.9676,31.8634
13,D9,UniqueMappingClustering,st5,74,0.35519732022723766,tpe,16,88.2353,96.1872,92.0398,46.6232
14,D9,UniqueMappingClustering,st5,98,0.3626005261408972,tpe,16,88.2353,96.1872,92.0398,61.7723
15,D9,UniqueMappingClustering,st5,99,0.3719063900050051,tpe,16,88.2353,96.1872,92.0398,62.039
16,D9,UniqueMappingClustering,st5,99,0.402063186195049,tpe,16,88.2353,96.1872,92.0398,62.1053
17,D9,UniqueMappingClustering,st5,89,0.220789218538661,tpe,16,88.2353,96.1872,92.0398,55.1718
18,D9,UniqueMappingClustering,smpnet,64,0.4306512457636752,tpe,16,84.8509,92.461,88.4926,18.6742
19,D9,ConnectedComponentsClustering,st5,85,0.6639297408272906,tpe,16,0,0,0,28.5975
20,D9,BestMatchClustering,st5,78,0.4624023895250643,tpe,16,86.8045,94.6274,90.5473,22.903
21,D9,UniqueMappingClustering,st5,100,0.34766883331372267,tpe,16,88.2353,96.1872,92.0398,62.2516
22,D9,UniqueMappingClustering,st5,91,0.2479770922895381,tpe,16,88.2353,96.1872,92.0398,56.702
23,D9,UniqueMappingClustering,st5,59,0.34655469171867775,tpe,16,88.2353,96.1872,92.0398,36.6115
24,D9,UniqueMappingClustering,st5,93,0.4071532799902914,tpe,16,88.2353,96.1872,92.0398,58.4668
25,D9,UniqueMappingClustering,sminilm,77,0.6196458895941593,tpe,16,90.1414,93.8908,91.9779,13.6983
26,D9,UniqueMappingClustering,st5,94,0.47534272849702536,tpe,16,88.2353,96.1872,92.0398,71.3798
27,D9,UniqueMappingClustering,smpnet,80,0.062103643641625905,tpe,16,84.8172,92.461,88.4743,50.3135
28,D9,BestMatchClustering,st5,68,0.2783002623299917,tpe,16,86.8045,94.6274,90.5473,22.615
29,D9,ConnectedComponentsClustering,sdistilroberta,100,0.5545118486923859,tpe,16,92.3077,2.0797,4.0678,37.1499
30,D9,ConnectedComponentsClustering,st5,86,0.17111309025008947,tpe,16,0,0,0,29.8269
31,D9,UniqueMappingClustering,st5,99,0.40154698721508325,tpe,16,88.2353,96.1872,92.0398,63.1231
32,D9,UniqueMappingClustering,st5,92,0.37906589629249815,tpe,16,88.2353,96.1872,92.0398,58.4377
33,D9,UniqueMappingClustering,st5,74,0.47852759358479896,tpe,16,88.2353,96.1872,92.0398,49.5961
34,D9,UniqueMappingClustering,st5,95,0.3518839934267984,tpe,16,88.2353,96.1872,92.0398,60.4581
35,D9,UniqueMappingClustering,st5,85,0.28071535501957334,tpe,16,88.2353,96.1872,92.0398,54.9878
36,D9,UniqueMappingClustering,sminilm,65,0.4528793077502907,tpe,16,86.3003,93.8908,89.9357,15.8101
37,D9,BestMatchClustering,st5,57,0.5231467178247418,tpe,16,86.8045,94.6274,90.5473,18.9825
38,D9,UniqueMappingClustering,smpnet,97,0.13637660882137953,tpe,16,84.8172,92.461,88.4743,57.4714
39,D9,UniqueMappingClustering,sent_glove,90,0.5856576967809186,tpe,16,71.1834,68.2842,69.7037,24.3874
40,D9,KiralyMSMApproximateClustering,sdistilroberta,51,0.2366095144141499,tpe,16,89.9788,91.8111,90.8857,28.6574
41,D9,UniqueMappingClustering,st5,89,0.2302422475173007,tpe,16,88.2353,96.1872,92.0398,56.7501
42,D9,UniqueMappingClustering,st5,88,0.3725209757402416,tpe,16,88.2353,96.1872,92.0398,56.5237
43,D9,UniqueMappingClustering,st5,81,0.20225258919881428,tpe,16,88.2353,96.1872,92.0398,51.6338
44,D9,UniqueMappingClustering,st5,95,0.32206726966642585,tpe,16,88.2353,96.1872,92.0398,61.5307
0,D9,ConnectedComponentsClustering,sdistilroberta,23,0.5573132422113427,tpe,16,91.5254,2.3397,4.5627,10.0605
1,D9,UniqueMappingClustering,st5,70,0.8759183069702524,tpe,16,95.9059,88.3016,91.9468,13.6259
2,D9,BestMatchClustering,sent_glove,55,0.09796940450982233,tpe,16,63.4738,69.1941,66.2106,15.9216
3,D9,KiralyMSMApproximateClustering,sent_glove,27,0.570206071017357,tpe,16,79.1214,66.3345,72.1659,15.9964
4,D9,KiralyMSMApproximateClustering,sent_glove,22,0.7181165624592646,tpe,16,86.6817,49.9133,63.3489,5.402
5,D9,UniqueMappingClustering,sminilm,44,0.5243046510147403,tpe,16,87.0631,93.8908,90.3481,9.9738
6,D9,UniqueMappingClustering,sminilm,20,0.14051661315009667,tpe,16,86.1288,93.8908,89.8425,12.3279
7,D9,ConnectedComponentsClustering,sent_glove,46,0.7395230077261655,tpe,16,96.5458,24.2201,38.7253,17.1177
8,D9,KiralyMSMApproximateClustering,sent_glove,36,0.8930100289048913,tpe,16,96.875,9.4021,17.1406,8.3513
9,D9,KiralyMSMApproximateClustering,sdistilroberta,18,0.19649528379445302,tpe,16,89.8262,91.8111,90.8078,12.2657
10,D9,UniqueMappingClustering,st5,83,0.9433630976698483,tpe,16,98.3005,47.617,64.1565,15.9977
11,D9,BestMatchClustering,smpnet,3,0.29793362444719196,tpe,16,83.0414,90.3813,86.556,3.404
12,D9,KiralyMSMApproximateClustering,sdistilroberta,72,0.3146127800606803,tpe,16,90.0977,91.8544,90.9676,31.0683
13,D9,UniqueMappingClustering,st5,74,0.35519732022723766,tpe,16,88.2353,96.1872,92.0398,47.1376
