trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
794,D6,BestMatchClustering,sminilm,88,0.8,gridsearch,42,63.2353,28.0784,38.8889,2.328845262527466
795,D6,UniqueMappingClustering,st5,97,0.55,gridsearch,42,15.5662,72.5746,25.6343,6.625917673110962
796,D6,KiralyMSMApproximateClustering,st5,46,0.45,gridsearch,42,34.2761,66.6978,45.2818,3.6652987003326416
797,D6,KiralyMSMApproximateClustering,sminilm,45,0.9000000000000001,gridsearch,42,62.1302,9.7948,16.9218,1.4868378639221191
798,D6,ConnectedComponentsClustering,sminilm,10,0.3,gridsearch,42,0,0,0,0.8544878959655762
799,D6,BestMatchClustering,st5,88,0.45,gridsearch,42,8.1536,38.4328,13.4531,3.4170284271240234
800,D6,BestMatchClustering,st5,77,0.2,gridsearch,42,8.2159,38.6194,13.5493,3.1747312545776367
801,D6,UniqueMappingClustering,st5,19,0.05,gridsearch,42,17.4938,72.6679,28.1991,2.0855300426483154
802,D6,BestMatchClustering,st5,77,0.9000000000000001,gridsearch,42,65.0602,15.1119,24.5269,2.386154890060425
803,D6,UniqueMappingClustering,sminilm,31,0.7000000000000001,gridsearch,42,58.3704,36.7537,45.1059,1.0261116027832031
804,D6,ConnectedComponentsClustering,sminilm,39,0.45,gridsearch,42,71.875,4.291,8.0986,1.734065055847168
805,D6,KiralyMSMApproximateClustering,sminilm,8,0.05,gridsearch,42,32.5721,75.8396,45.5717,1.307497262954712
806,D6,ConnectedComponentsClustering,st5,84,0.7500000000000001,gridsearch,42,71.3433,22.2948,33.973,3.3988184928894043
807,D6,KiralyMSMApproximateClustering,sminilm,87,0.2,gridsearch,42,38.8834,73.4142,50.8398,5.705693244934082
808,D6,ConnectedComponentsClustering,sminilm,85,0.45,gridsearch,42,75.9259,3.8246,7.2824,3.4029996395111084
809,D6,UniqueMappingClustering,sminilm,60,0.8500000000000001,gridsearch,42,64.0541,22.1082,32.871,1.4376614093780518
810,D6,KiralyMSMApproximateClustering,sminilm,10,0.8,gridsearch,42,64.1949,28.2649,39.2487,0.7643911838531494
811,D6,BestMatchClustering,sminilm,96,0.7500000000000001,gridsearch,42,60.4396,30.7836,40.7911,2.586775064468384
