FEATURE,IMPORTANCE,DATASET,REGRESSOR,TEST_SET
NumberOfAttributes,0.0257632987265964,optuna,RIDGE,D9
NumberOfDistinctValues,0.0619673878381925,optuna,RIDGE,D9
NumberOfNameValuePairs,0.0348504032330195,optuna,RIDGE,D9
AverageNVPairsPerEntity,0.0406152972092362,optuna,RIDGE,D9
AverageDistinctValuesPerEntity,0.0575162045495735,optuna,RIDGE,D9
AverageNVpairsPerAttribute,0.0696264972090983,optuna,RIDGE,D9
AverageDistinctValuesPerAttribute,0.0522334932587045,optuna,RIDGE,D9
NumberOfMissingNVpairs,0.1141785100468871,optuna,RIDGE,D9
AverageValueLength,0.025145230040349,optuna,RIDGE,D9
AverageValueTokens,0.0210860149792564,optuna,RIDGE,D9
MaxValuesPerEntity,0.0209719698158344,optuna,RIDGE,D9
clustering_KiralyMSMApproximateClustering,0.0559618177579793,optuna,RIDGE,D9
clustering_UniqueMappingClustering,0.0488383854694156,optuna,RIDGE,D9
lm_sdistilroberta,0.0077675134867589,optuna,RIDGE,D9
lm_sent_glove,0.0158037345545934,optuna,RIDGE,D9
lm_sminilm,0.0279720172831806,optuna,RIDGE,D9
lm_smpnet,0.011708422471392,optuna,RIDGE,D9
lm_st5,0.0768142974657773,optuna,RIDGE,D9
lm_word2vec,0.0261374872545778,optuna,RIDGE,D9
k,0.0122867891578621,all,RIDGE,D9
threshold,0.1389899903137459,all,RIDGE,D9
InputEntityProfiles,0.0527023751084687,all,RIDGE,D9
NumberOfAttributes,0.0217258975203079,all,RIDGE,D9
NumberOfDistinctValues,0.0562897178681419,all,RIDGE,D9
NumberOfNameValuePairs,0.0350689127407174,all,RIDGE,D9
AverageNVPairsPerEntity,0.0426511152432887,all,RIDGE,D9
AverageDistinctValuesPerEntity,0.0452773216207612,all,RIDGE,D9
AverageNVpairsPerAttribute,0.0743745526489378,all,RIDGE,D9
AverageDistinctValuesPerAttribute,0.0573979995088875,all,RIDGE,D9
NumberOfMissingNVpairs,0.1319906505941789,all,RIDGE,D9
AverageValueLength,0.024585953311487,all,RIDGE,D9
AverageValueTokens,0.0240664677643549,all,RIDGE,D9
MaxValuesPerEntity,0.0177402800112602,all,RIDGE,D9
clustering_KiralyMSMApproximateClustering,0.0693720050461102,all,RIDGE,D9
clustering_UniqueMappingClustering,0.0640792111921142,all,RIDGE,D9
lm_sdistilroberta,0.0090057728452769,all,RIDGE,D9
lm_sent_glove,0.0106415212468446,all,RIDGE,D9
lm_sminilm,0.0238529423219674,all,RIDGE,D9
lm_smpnet,0.0117810661425864,all,RIDGE,D9
