sampler,dataset,max_trials,f1,f1_ratio
RandomSampler,D10,95,55.70426,0.9926450095336528
RandomSampler,D10,100,55.721140000000005,0.9929458096477004
RandomSampler,D8,5,37.54764,0.7895624014299233
RandomSampler,D8,10,40.94162,0.8609319735043633
RandomSampler,D8,15,41.08286,0.8639020082010304
RandomSampler,D8,20,41.08286,0.8639020082010304
RandomSampler,D8,25,41.5608,0.8739522657974976
RandomSampler,D8,30,41.89782,0.881039217747871
RandomSampler,D8,35,43.33472,0.9112547576490378
RandomSampler,D8,40,43.33608,0.9112833561139732
RandomSampler,D8,45,43.33608,0.9112833561139732
RandomSampler,D8,50,43.33608,0.9112833561139732
RandomSampler,D8,55,43.37056,0.9120084113132162
RandomSampler,D8,60,43.37056,0.9120084113132162
RandomSampler,D8,65,43.37056,0.9120084113132162
RandomSampler,D8,70,43.37056,0.9120084113132162
RandomSampler,D8,75,43.82154,0.9214917463989064
RandomSampler,D8,80,43.82154,0.9214917463989064
RandomSampler,D8,85,44.33794,0.9323507517611186
RandomSampler,D8,90,44.33794,0.9323507517611186
RandomSampler,D8,95,44.33794,0.9323507517611186
RandomSampler,D8,100,44.33794,0.9323507517611186
GPSampler,D10,5,38.82768,0.6919058395851525
GPSampler,D10,10,51.00124,0.9088376071422208
GPSampler,D10,15,52.31028,0.9321645847069516
GPSampler,D10,20,55.39790000000001,0.9871857013026356
GPSampler,D10,25,55.39790000000001,0.9871857013026356
GPSampler,D10,30,55.39790000000001,0.9871857013026356
GPSampler,D10,35,55.39790000000001,0.9871857013026356
GPSampler,D10,40,55.3982,0.9871910472762264
GPSampler,D10,45,55.39852,0.9871967496480568
GPSampler,D10,50,55.39852,0.9871967496480568
GPSampler,D10,55,55.39882,0.9872020956216476
GPSampler,D10,60,55.39882,0.9872020956216476
GPSampler,D10,65,55.399440000000006,0.9872131439670688
GPSampler,D10,70,55.4025,0.987267672897696
GPSampler,D10,75,55.4025,0.987267672897696
GPSampler,D10,80,55.4025,0.987267672897696
