FEATURE,IMPORTANCE,DATASET,TEST_SET,REGRESSOR
AverageNVPairsPerEntity,0.0,ALL,D10,AutoML
NumberOfNameValuePairs,0.0,ALL,D10,AutoML
NumberOfDistinctValues,0.0,ALL,D10,AutoML
NumberOfAttributes,0.0,ALL,D10,AutoML
InputEntityProfiles,0.0,ALL,D10,AutoML
k,-3.8441100851471786e-05,ALL,D10,AutoML
clustering_UniqueMappingClustering,-0.0170033373586868,ALL,D10,AutoML
lm_st5,-0.0484972626738225,ALL,D10,AutoML
clustering_ConnectedComponentsClustering,0.2615851539511243,ALL,D6,AutoML
clustering_UniqueMappingClustering,0.1114729551876607,ALL,D6,AutoML
clustering_KiralyMSMApproximateClustering,0.0945351803752045,ALL,D6,AutoML
threshold,0.0214979656347506,ALL,D6,AutoML
lm_sdistilroberta,0.0172889505722059,ALL,D6,AutoML
AverageValueTokens,0.0,ALL,D6,AutoML
MaxValuesPerEntity,0.0,ALL,D6,AutoML
AverageValueLength,0.0,ALL,D6,AutoML
NumberOfMissingNVpairs,0.0,ALL,D6,AutoML
AverageDistinctValuesPerAttribute,0.0,ALL,D6,AutoML
AverageNVpairsPerAttribute,0.0,ALL,D6,AutoML
AverageDistinctValuesPerEntity,0.0,ALL,D6,AutoML
AverageNVPairsPerEntity,0.0,ALL,D6,AutoML
NumberOfNameValuePairs,0.0,ALL,D6,AutoML
NumberOfDistinctValues,0.0,ALL,D6,AutoML
NumberOfAttributes,0.0,ALL,D6,AutoML
InputEntityProfiles,0.0,ALL,D6,AutoML
lm_st5,-0.000556462277593,ALL,D6,AutoML
k,-0.0008172885810861,ALL,D6,AutoML
lm_sent_glove,-0.0054394591843069,ALL,D6,AutoML
lm_smpnet,-0.0080523625420101,ALL,D6,AutoML
lm_word2vec,-0.0192571311514465,ALL,D6,AutoML
lm_sminilm,-0.0334820374380687,ALL,D6,AutoML
lm_fasttext,-0.0458890695623665,ALL,D6,AutoML
clustering_ConnectedComponentsClustering,0.4444001283143513,ALL,D3,AutoML
lm_fasttext,0.0465176623738364,ALL,D3,AutoML
clustering_KiralyMSMApproximateClustering,0.011640725702581,ALL,D3,AutoML
clustering_UniqueMappingClustering,0.003858271048462,ALL,D3,AutoML
AverageValueTokens,0.0,ALL,D3,AutoML
InputEntityProfiles,0.0,ALL,D3,AutoML
NumberOfAttributes,0.0,ALL,D3,AutoML
NumberOfDistinctValues,0.0,ALL,D3,AutoML
NumberOfNameValuePairs,0.0,ALL,D3,AutoML
AverageNVPairsPerEntity,0.0,ALL,D3,AutoML
AverageDistinctValuesPerEntity,0.0,ALL,D3,AutoML
AverageNVpairsPerAttribute,0.0,ALL,D3,AutoML
AverageDistinctValuesPerAttribute,0.0,ALL,D3,AutoML
NumberOfMissingNVpairs,0.0,ALL,D3,AutoML
AverageValueLength,0.0,ALL,D3,AutoML
MaxValuesPerEntity,0.0,ALL,D3,AutoML
k,-3.924224706155499e-05,ALL,D3,AutoML
threshold,-0.0008099746663125,ALL,D3,AutoML
lm_sdistilroberta,-0.0019452707629953,ALL,D3,AutoML
lm_smpnet,-0.0031137738707863,ALL,D3,AutoML
lm_word2vec,-0.0061683675073639,ALL,D3,AutoML
lm_sminilm,-0.0129772681705312,ALL,D3,AutoML
lm_st5,-0.0169446368572919,ALL,D3,AutoML
lm_sent_glove,-0.0381474857058656,ALL,D3,AutoML
clustering_ConnectedComponentsClustering,0.2243891277519088,ALL,D9,AutoML
threshold,0.0828526186576758,ALL,D9,AutoML
lm_st5,0.0537238755411612,ALL,D9,AutoML
clustering_KiralyMSMApproximateClustering,0.0009674650711677,ALL,D9,AutoML
k,1.0255459804842104e-05,ALL,D9,AutoML
AverageValueLength,0.0,ALL,D9,AutoML
lm_sent_glove,0.0,ALL,D9,AutoML
lm_sdistilroberta,0.0,ALL,D9,AutoML
lm_fasttext,0.0,ALL,D9,AutoML
MaxValuesPerEntity,0.0,ALL,D9,AutoML
AverageValueTokens,0.0,ALL,D9,AutoML
NumberOfMissingNVpairs,0.0,ALL,D9,AutoML
AverageDistinctValuesPerAttribute,0.0,ALL,D9,AutoML
AverageNVpairsPerAttribute,0.0,ALL,D9,AutoML
AverageDistinctValuesPerEntity,0.0,ALL,D9,AutoML
AverageNVPairsPerEntity,0.0,ALL,D9,AutoML
NumberOfNameValuePairs,0.0,ALL,D9,AutoML
NumberOfDistinctValues,0.0,ALL,D9,AutoML
NumberOfAttributes,0.0,ALL,D9,AutoML
InputEntityProfiles,0.0,ALL,D9,AutoML
lm_word2vec,0.0,ALL,D9,AutoML
clustering_UniqueMappingClustering,-0.0014357317667189,ALL,D9,AutoML
lm_sminilm,-0.1361062814668281,ALL,D9,AutoML
lm_smpnet,-0.1402447592194813,ALL,D9,AutoML
clustering_ConnectedComponentsClustering,1.048429879842001,ALL,D2,AutoML
lm_sminilm,0.0018953730023923,ALL,D2,AutoML
lm_smpnet,0.000357058570244,ALL,D2,AutoML
clustering_UniqueMappingClustering,0.0002042115166617,ALL,D2,AutoML
AverageValueTokens,0.0,ALL,D2,AutoML
AverageValueLength,0.0,ALL,D2,AutoML
lm_sent_glove,0.0,ALL,D2,AutoML
lm_sdistilroberta,0.0,ALL,D2,AutoML
lm_fasttext,0.0,ALL,D2,AutoML
MaxValuesPerEntity,0.0,ALL,D2,AutoML
lm_word2vec,0.0,ALL,D2,AutoML
NumberOfMissingNVpairs,0.0,ALL,D2,AutoML
AverageDistinctValuesPerAttribute,0.0,ALL,D2,AutoML
AverageNVpairsPerAttribute,0.0,ALL,D2,AutoML
AverageDistinctValuesPerEntity,0.0,ALL,D2,AutoML
AverageNVPairsPerEntity,0.0,ALL,D2,AutoML
NumberOfNameValuePairs,0.0,ALL,D2,AutoML
NumberOfDistinctValues,0.0,ALL,D2,AutoML
NumberOfAttributes,0.0,ALL,D2,AutoML
InputEntityProfiles,0.0,ALL,D2,AutoML
k,-2.9144702634376077e-06,ALL,D2,AutoML
clustering_KiralyMSMApproximateClustering,-0.004900138539377,ALL,D2,AutoML
lm_st5,-0.0113639449342314,ALL,D2,AutoML
threshold,-0.1215717713237767,ALL,D2,AutoML
clustering_ConnectedComponentsClustering,2.397830599499085,ALL,D8,AutoML
threshold,0.0356603744675332,ALL,D8,AutoML
clustering_UniqueMappingClustering,0.0079031404560261,ALL,D8,AutoML
lm_st5,0.0020050530560443,ALL,D8,AutoML
k,4.253664329247897e-05,ALL,D8,AutoML
AverageValueLength,0.0,ALL,D8,AutoML
lm_sent_glove,0.0,ALL,D8,AutoML
lm_sdistilroberta,0.0,ALL,D8,AutoML
lm_fasttext,0.0,ALL,D8,AutoML
MaxValuesPerEntity,0.0,ALL,D8,AutoML
AverageValueTokens,0.0,ALL,D8,AutoML
NumberOfMissingNVpairs,0.0,ALL,D8,AutoML
AverageDistinctValuesPerAttribute,0.0,ALL,D8,AutoML
AverageNVpairsPerAttribute,0.0,ALL,D8,AutoML
AverageDistinctValuesPerEntity,0.0,ALL,D8,AutoML
AverageNVPairsPerEntity,0.0,ALL,D8,AutoML
NumberOfNameValuePairs,0.0,ALL,D8,AutoML
NumberOfDistinctValues,0.0,ALL,D8,AutoML
NumberOfAttributes,0.0,ALL,D8,AutoML
InputEntityProfiles,0.0,ALL,D8,AutoML
lm_word2vec,0.0,ALL,D8,AutoML
lm_smpnet,-0.0039338566084698,ALL,D8,AutoML
lm_sminilm,-0.0085562121365882,ALL,D8,AutoML
clustering_KiralyMSMApproximateClustering,-0.0374310356649338,ALL,D8,AutoML
lm_fasttext,0.093968827289533,ALL,D1,AutoML
clustering_ConnectedComponentsClustering,0.052321043273008,ALL,D1,AutoML
threshold,0.0072110564560577,ALL,D1,AutoML
lm_st5,0.0017206529425194,ALL,D1,AutoML
AverageValueTokens,0.0,ALL,D1,AutoML
InputEntityProfiles,0.0,ALL,D1,AutoML
NumberOfAttributes,0.0,ALL,D1,AutoML
NumberOfDistinctValues,0.0,ALL,D1,AutoML
NumberOfNameValuePairs,0.0,ALL,D1,AutoML
AverageNVPairsPerEntity,0.0,ALL,D1,AutoML
AverageDistinctValuesPerEntity,0.0,ALL,D1,AutoML
AverageNVpairsPerAttribute,0.0,ALL,D1,AutoML
AverageDistinctValuesPerAttribute,0.0,ALL,D1,AutoML
NumberOfMissingNVpairs,0.0,ALL,D1,AutoML
AverageValueLength,0.0,ALL,D1,AutoML
MaxValuesPerEntity,0.0,ALL,D1,AutoML
k,-0.0008236475561064,ALL,D1,AutoML
